,Pred_Age,True_Age,Age_res,platform
GSM3853125,47.07429885864258,49.0,-1.9257011413574219,850k
GSM3853126,20.5025577545166,21.0,-0.49744224548339844,850k
GSM3853127,43.99001693725586,44.0,-0.009983062744140625,850k
GSM3853128,50.95941925048828,51.0,-0.04058074951171875,850k
GSM3853129,52.260826110839844,52.0,0.26082611083984375,850k
GSM3853130,23.42353630065918,24.0,-0.5764636993408203,850k
GSM3853131,48.67353057861328,49.0,-0.32646942138671875,850k
GSM3853132,50.82333755493164,53.0,-2.1766624450683594,850k
GSM3853133,50.280155181884766,51.0,-0.7198448181152344,850k
GSM3853134,42.49589538574219,42.0,0.4958953857421875,850k
GSM3853135,46.615623474121094,48.0,-1.3843765258789062,850k
GSM3853136,52.36661911010742,53.0,-0.6333808898925781,850k
GSM3853137,44.30167770385742,44.0,0.3016777038574219,850k
GSM3853138,43.924095153808594,47.0,-3.0759048461914062,850k
GSM3853139,25.197357177734375,23.0,2.197357177734375,850k
GSM3853140,27.129606246948242,29.0,-1.8703937530517578,850k
GSM3853141,51.18118667602539,51.0,0.18118667602539062,850k
GSM3853142,59.93710708618164,59.0,0.9371070861816406,850k
GSM3853143,49.67692565917969,50.0,-0.3230743408203125,850k
GSM3853144,54.61113357543945,53.0,1.6111335754394531,850k
GSM3853145,48.35069274902344,51.0,-2.6493072509765625,850k
GSM3853146,51.31381607055664,54.0,-2.6861839294433594,850k
GSM3853147,55.33330535888672,56.0,-0.6666946411132812,850k
GSM3853148,50.70339584350586,49.0,1.7033958435058594,850k
GSM3853149,54.61043167114258,55.0,-0.3895683288574219,850k
GSM3853150,59.56290817260742,61.0,-1.4370918273925781,850k
GSM3853151,47.70296859741211,48.0,-0.2970314025878906,850k
GSM3853152,47.70566177368164,49.0,-1.2943382263183594,850k
GSM3853153,55.1796989440918,56.0,-0.8203010559082031,850k
GSM3853154,48.80183792114258,49.0,-0.19816207885742188,850k
GSM3853155,36.173973083496094,35.0,1.1739730834960938,850k
GSM3853156,47.14677810668945,49.0,-1.8532218933105469,850k
GSM3853157,67.55844116210938,69.0,-1.441558837890625,850k
